Rk,Team,Rec,F+,OF+,Rk,DF+,Rk,FEI,Rk,SP+,Rk
86,Rutgers,4-8,-.46,-1.20,117,.27,51,-.31,91,-3.0,88
87,Hawaii,5-7,-.46,-.56,86,-.42,96,-.34,92,-2.3,86
88,Middle Tennessee,6-6,-.47,-.88,103,.01,66,-.28,89,-4.0,90
89,Tulane,1-10,-.47,-.16,74,-.51,98,-.28,90,-4.0,89
90,UTEP,6-6,-.56,-.64,90,-.18,81,-.37,93,-4.2,91
91,San Jose State,4-7,-.59,-1.25,120,.25,54,-.50,105,-1.9,85
92,Florida Atlantic,4-7,-.60,-.81,102,-.17,78,-.37,94,-5.2,92
93,Navy,4-8,-.62,-.81,101,-.08,71,-.25,86,-8.5,102
94,North Texas,5-7,-.65,-.80,100,-.24,85,-.37,96,-6.5,94
95,Georgia Tech,2-9,-.68,-.30,81,-.93,109,-.39,97,-6.7,96
96,Northern Illinois,8-5,-.70,.07,66,-1.34,119,-.39,98,-7.1,97
97,Colorado,3-8,-.70,-1.24,119,-.20,82,-.27,88,-10.0,104
98,Stanford,3-9,-.70,-.68,94,-.72,103,-.26,87,-10.3,105
99,Eastern Michigan,6-6,-.70,-.18,75,-1.37,120,-.37,95,-7.8,100
100,South Alabama,4-7,-.72,-.96,105,-.22,83,-.42,99,-7.1,98
101,Old Dominion,5-7,-.74,-1.20,116,-.18,80,-.43,101,-7.4,99
102,Indiana,1-10,-.77,-1.12,111,-.08,70,-.44,102,-7.8,101
103,Troy,4-7,-.84,-1.19,115,-.16,77,-.57,109,-6.5,95
104,Ball State,5-7,-.89,-.94,104,-.75,104,-.42,100,-11.2,107
105,Kent State,6-7,-.89,.33,54,-1.71,123,-.64,112,-6.4,93
106,Louisiana Tech,2-9,-.95,-.68,95,-.71,102,-.47,103,-11.5,108
107,Northwestern,2-9,-1.00,-1.08,109,-.38,94,-.55,108,-11.1,106
108,Arizona,1-10,-1.01,-1.08,108,-.69,100,-.50,104,-12.6,112
109,South Florida,1-10,-1.01,-.59,88,-1.41,121,-.52,106,-12.1,110
110,Buffalo,3-8,-1.05,-.67,93,-1.17,112,-.68,114,-9.5,103
111,UNLV,2-9,-1.08,-1.01,107,-.81,105,-.52,107,-13.8,115
112,Georgia Southern,2-9,-1.22,-1.34,121,-.85,107,-.61,110,-15.2,117
113,Ohio,3-8,-1.24,-.67,91,-1.32,118,-.80,119,-11.6,109
114,Bowling Green,3-8,-1.27,-1.90,127,-.37,93,-.79,118,-12.3,111
115,Texas State,4-7,-1.35,-1.16,113,-1.25,114,-.73,115,-16.0,118
116,Charlotte,4-7,-1.37,-.14,71,-2.26,128,-.85,122,-13.7,114
117,Southern Mississippi,2-9,-1.38,-2.17,129,-.10,74,-.84,121,-14.2,116
